Gene Accession Number,Gene Definition,Sample Source,Gene Organism,Isolation Source,Collection Date,Collection Country,Taxon ID,BioProject,BioSample,Assembly,Reference_1,Reference_2,Reference_3,Reference_4,Reference_5,Reference_6,Reference_7,Reference_8,Reference_9,Reference_10,Reference_11,Reference_12,Reference_13,Reference_14,Reference_15,Reference_16,Reference_17,Reference_18,Reference_19,Reference_20,Reference_21,Reference_22,Reference_23,Reference_24,Reference_25,Reference_26,Reference_27,Reference_28,Reference_29,Reference_30,Reference_31,new_collection_date
AE016853.1,"Pseudomonas syringae pv. tomato str. DC3000, complete genome",Pseudomonas syringae pv. tomato str. DC3000,Pseudomonas syringae pv. tomato str. DC3000,,,,taxon:223283,BioProject:PRJNA359,BioSample:SAMN02604017,,Direct Submission,Direct Submission,Direct Submission,Direct Submission,The complete genome sequence of the Arabidopsis and tomato pathogen Pseudomonas syringae pv. tomato DC3000,Direct Submission,Direct Submission,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,
AE016853.1,"Pseudomonas syringae pv. tomato str. DC3000, complete genome",Pseudomonas syringae pv. tomato str. DC3000,Pseudomonas syringae pv. tomato str. DC3000,,,,taxon:223283,BioProject:PRJNA359,BioSample:SAMN02604017,,Direct Submission,Direct Submission,Direct Submission,Direct Submission,The complete genome sequence of the Arabidopsis and tomato pathogen Pseudomonas syringae pv. tomato DC3000,Direct Submission,Direct Submission,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,
AE016853.1,"Pseudomonas syringae pv. tomato str. DC3000, complete genome",Pseudomonas syringae pv. tomato str. DC3000,Pseudomonas syringae pv. tomato str. DC3000,,,,taxon:223283,BioProject:PRJNA359,BioSample:SAMN02604017,,Direct Submission,Direct Submission,Direct Submission,Direct Submission,The complete genome sequence of the Arabidopsis and tomato pathogen Pseudomonas syringae pv. tomato DC3000,Direct Submission,Direct Submission,Direct Submission,Direct Submission,,,,,,,,,,,,,,,,,,,,,,,
AY509004.1,"Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67 plasmid pSC138, complete sequence",Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,,,,taxon:321314,BioProject:PRJNA9618,BioSample:SAMN02603109,,Direct Submission,"The genome sequence of Salmonella enterica serovar Choleraesuis, a highly invasive and resistant zoonotic pathogen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY509004.1,"Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67 plasmid pSC138, complete sequence",Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,Salmonella enterica subsp. enterica serovar Choleraesuis str. SC-B67,,,,taxon:321314,BioProject:PRJNA9618,BioSample:SAMN02603109,,Direct Submission,"The genome sequence of Salmonella enterica serovar Choleraesuis, a highly invasive and resistant zoonotic pathogen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP000159.1,"Salinibacter ruber DSM 13855, complete genome",Salinibacter ruber DSM 13855,Salinibacter ruber DSM 13855,,,,taxon:309807,BioProject:PRJNA16159,BioSample:SAMN02604045,,Direct Submission,The genome of Salinibacter ruber: convergence and gene exchange among hyperhalophilic bacteria and archaea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ420072.1,Corynebacterium glutamicum plasmid pTET3,Corynebacterium glutamicum,Corynebacterium glutamicum,,,,taxon:1718,,BioSample:SAMN14229569,,Direct Submission,The 27.8-kb R-plasmid pTET3 from Corynebacterium glutamicum encodes the aminoglycoside adenyltransferase gene cassette aadA9 and the regulated tetracycline efflux system Tet 33 flanked by active copies of the widespread insertion sequence IS6100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX294134.1,Rhodopirellula baltica SH 1 complete genome; segment 2/24,Rhodopirellula baltica SH 1,Rhodopirellula baltica SH 1,,,,taxon:243090,,BioSample:SAMEA3138332,,Direct Submission,Complete genome sequence of the marine planctomycete Pirellula sp. strain 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BX294138.1,Rhodopirellula baltica SH 1 complete genome; segment 6/24,Rhodopirellula baltica SH 1,Rhodopirellula baltica SH 1,,,,taxon:243090,,BioSample:SAMEA3138332,,Direct Submission,Complete genome sequence of the marine planctomycete Pirellula sp. strain 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CR378680.1,Photobacterium profundum SS9 chromosome 2; segment 6/7,Photobacterium profundum SS9,Photobacterium profundum SS9,,,,taxon:298386,,BioSample:SAMEA3138336,,Direct Submission,Genome Analysis of Photobacterium profundum reveals the complexity of high pressure adaptations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
