test_id	inti_type	pre_prob	bacterial_host	pre_prob	resistance_category
DPRR01000029.1|HCY77205.1|Group09_0	Group09	0.9998964	Ignavibacteria	0.9998267	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
DRQG01000104.1|HGY56202.1|Group09_0	Group09	0.9998727	Calditrichia	0.99978477	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
JAHBUO010000087.1|MBX2977154.1|Group09_0	Group09	0.99997437	Ignavibacteria	0.9987716	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,sulfonamide,tetracycline
JAHISV010000012.1|MBU1101540.1|Group09_0	Group09	0.9999304	Zetaproteobacteria	0.97075945	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,ethambutol,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,tetracycline
JABGYA010000350.1|MBT7889176.1|Group09_0	Group09	0.7535654	Zetaproteobacteria	0.45897228	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,ethambutol,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JABIES010000235.1|MBT4087840.1|Group09_0	Group09	0.9999604	Deltaproteobacteria	0.99889815	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JABARG010000005.1|MBV6419351.1|Group09_0	Group09	0.99991286	Ignavibacteria	0.9987263	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
JAHJTX010000369.1|MBU2508484.1|Group09_0	Group09	0.9998259	Zetaproteobacteria	0.70300543	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
QMPQ01000135.1|RLD92279.1|Group09_0	Group09	0.9948921	Zetaproteobacteria	0.5714398	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
PAAX01000015.1|MAT57880.1|Group09_0	Group09	0.99957067	Zetaproteobacteria	0.37133634	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
PCUD01000031.1|PIQ10485.1|Group09_0	Group09	0.9999261	Ignavibacteria	0.9975375	MLS,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
JACNGF010000569.1|MBC8487234.1|Group09_0	Group09	0.99989223	Zetaproteobacteria	0.979618	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,polymyxin,quinolone,rifamycin,sulfonamide,tetracycline
NZ_BLAV01000001.1|WP_153638003.1|Group09_0	Group09	0.9998385	Bacteroidia	0.9980521	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,tetracycline
JACNKR010000068.1|MBC8198098.1|Group09_0	Group09	0.9987833	Zetaproteobacteria	0.86006457	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
