test_id	inti_type	pre_prob	bacterial_host	pre_prob	resistance_category
DPRR01000029.1|HCY77205.1|Group09_0	Unclassified	0.34633577	Zetaproteobacteria	0.36956275	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
DRQG01000104.1|HGY56202.1|Group09_0	Group15	0.5131051	Deltaproteobacteria	0.35003832	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JAHBUO010000087.1|MBX2977154.1|Group09_0	Group09	0.9986551	Ignavibacteria	0.99612504	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
JAHISV010000012.1|MBU1101540.1|Group09_0	Group15	0.39639148	Spirochaetia	0.34245774	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,trimethoprim
JABGYA010000350.1|MBT7889176.1|Group09_0	Group09	0.9996376	Calditrichia	0.99886537	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
JABIES010000235.1|MBT4087840.1|Group09_0	Group11	0.31030056	Deltaproteobacteria	0.17023307	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JABARG010000005.1|MBV6419351.1|Group09_0	Group04	0.87982464	Deltaproteobacteria	0.28132555	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
JAHJTX010000369.1|MBU2508484.1|Group09_0	Group02	0.66998994	Gammaproteobacteria	0.7167731	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline
QMPQ01000135.1|RLD92279.1|Group09_0	Group04	0.44019935	Zetaproteobacteria	0.37260947	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,elfamycin,fosfomycin,glycopeptide,multidrug,peptide,pleuromutilin,quinolone,rifamycin,sulfonamide,tetracycline,triclosan
PAAX01000015.1|MAT57880.1|Group09_0	Group03	0.2539882	Opitutae	0.2161068	MLS,aminocoumarin,aminoglycoside,bacitracin,beta-lactam,chloramphenicol,elfamycin,ethambutol,glycopeptide,multidrug,peptide,quinolone,rifamycin,tetracycline
